,exclamations,commas,dots,questions,token_count,polarity,positive,negative,subjective,objective,spelling_errors,text_complexity,smog,nouns,verbs,adverbs,determiners,ad_count,domain_type,fb_shares,fb_like,linkedin_shares,alexa_rank,rating
0,7,675,439,0,12093,1,137,2,137,2,107,15330.82322081936,14.265292616868656,1866,1050,1501,961,0,org,,,,12,5
3,1,11,6,1,178,1,5,2,5,2,0,110.55179462284202,14.265292616868656,30,20,18,8,0,com,,,,70219,3
6,0,0,3,1,30,0,,2,,2,0,13.879203588660916,14.265292616868656,5,7,2,1,0,com,,,,1668,4
7,2,3,1,0,57,1,2,,2,,0,34.98312707325737,14.265292616868656,6,4,8,3,0,com,,,,70219,3
8,0,0,3,1,30,0,,2,,2,0,13.879203588660916,14.265292616868656,5,7,2,1,0,com,,,,1668,4
9,0,0,2,0,19,1,1,,1,,1,7.986122593625963,14.265292616868656,4,3,1,3,0,com,,,,56,5
11,0,8,4,0,124,1,1,,1,,1,89.35319733335484,14.265292616868656,23,9,12,10,8,fm,,,,2133,4
12,0,5,5,0,111,1,2,1,2,1,0,64.336866467241,14.265292616868656,14,17,9,7,1,com,,,,108159,4
13,0,1,4,0,65,1,1,,1,,1,42.28021388610292,14.265292616868656,10,8,7,8,1,com,,,,71,5
21,0,1,0,0,15,1,1,,1,,0,4.668907502301862,14.265292616868656,3,,2,4,0,com,,,,16490,4
23,0,0,5,0,45,1,2,1,2,1,1,20.83153089845781,14.265292616868656,5,10,4,3,0,com,,,,54,4
24,0,73,61,0,1465,1,13,2,13,2,75,1615.0597134975028,14.265292616868656,223,127,165,125,0,org,,,,12,2
25,0,0,1,0,16,1,1,,1,,0,8.588182584953925,14.265292616868656,3,1,2,1,5,com,,,,1645,4
30,0,0,5,0,45,1,2,1,2,1,1,20.83153089845781,14.265292616868656,5,10,4,3,0,com,,,,54,4
31,0,0,1,0,26,1,1,,1,,1,10.0,14.265292616868656,5,3,2,3,12,com,,,,1645,4
33,0,0,6,2,103,1,1,,1,,1,67.60365984310735,14.265292616868656,16,13,8,6,6,com,,,,7118,4
36,1,12,10,0,222,1,9,,9,,7,177.45317188785023,14.265292616868656,24,17,19,8,5,com,,,,23893,3
38,0,0,0,0,19,0,,1,,1,0,10.0,14.265292616868656,6,2,3,3,1,com,,,,312,4
40,0,173,181,0,3775,1,36,7,36,7,42,4387.519469850399,14.265292616868656,607,395,436,330,0,org,,,,12,5
